,prime,target,group,pair_index,mask,key_name,correct,key_rt,key_tDown,bm_dur,prime_dur,fm_dur,target_dur,frame_rate
16,pei,law,control,132,UOBRSSQP,z,True,0.9293988999997964,27544.844580799996,0.4731958999982453,0.1018012999993516,0.05053860000043642,0.050054600000294165,59.93392883654862
17,petigo,danger,control,145,YGSRYSSX,z,True,0.7442876000022807,27546.793095099998,0.4792799999995623,0.0983622000021569,0.04989109999951325,0.050079799999366514,59.44091068254729
18,apegria,joy,control,130,TJFVJPWU,z,True,1.019754600001761,27549.083324799998,0.4877677000004042,0.09820380000019213,0.04948819999845,0.05050860000119428,60.45499639491386
19,melhor,law,incongruent,83,JEIJLAHA,z,True,1.897200100000191,27552.194453400003,0.4899920999996539,0.09677250000095228,0.05083229999945616,0.0498239000007743,59.43437493988124
20,faca,knife,congruent,18,QWOAKQFL,m,True,0.8110532000027888,27554.230131099997,0.4894750999992538,0.10072800000125426,0.05045160000008764,0.04980449999857228,59.766432780766074
21,safato,shoe,control,106,PDMOMJSJ,m,True,0.9101263000011386,27556.425112800003,0.4775819999995292,0.09912140000233194,0.04883789999803412,0.05110680000143475,60.61215855589586
22,sapato,shoe,congruent,6,GNYKRDMD,m,True,0.6250025999979698,27558.2212573,0.4811763000034262,0.10143169999719248,0.05064240000137943,0.0478307000012137,60.2418711124331
23,atrasado,late,congruent,48,UGOBWIBO,z,True,1.1468783000018448,27560.564955799997,0.4854845000008936,0.0995068000011088,0.04979779999848688,0.050282899999729125,60.49837350126764
24,vaca,cow,congruent,0,HNNJJMYP,m,True,1.4753482000014628,27563.1898866,0.4860642000021471,0.10068459999820334,0.04915379999874858,0.0509885999999824,59.99646020983194
25,butão,button,congruent,1,CKEHOXIQ,m,True,0.7351708000023791,27565.1528241,0.4785458000005747,0.10037469999952008,0.050268200000573415,0.05018869999912568,59.76014667558776
26,feio,ugly,congruent,31,FJAFKXIY,z,True,0.7124887999998464,27567.013710900002,0.4845391000017116,0.09896170000138227,0.050495699997554766,0.050461599999835016,59.95347610206247
27,darganta,throat,control,108,DMVVLCXT,z,False,0.7074628999980632,27568.907860000003,0.4753874999987602,0.0986854000002495,0.05095480000090902,0.050142600000981474,59.96267922741964
28,ponte,bridge,congruent,12,XGHOHZTC,m,True,1.9811512000014773,27572.1818399,0.4836976000005962,0.09989010000208508,0.05049209999924642,0.049819199997727985,60.25519279350785
29,creme,cream,congruent,4,LNNCYNDO,m,True,0.8836770999987493,27574.2689999,0.4883773000001384,0.09996680000040216,0.049806300001364434,0.0500581999986025,59.94398833648028
30,suave,soft,congruent,27,UIHKWMXK,z,True,0.9073237000011432,27576.393450200005,0.4882240000006277,0.09964829999807988,0.04948590000276454,0.05096079999930225,60.49486005413044
