,response_time,group,pair_index,l1_l2,z_score_norm,exp_norm,rescaling_data
24,572.86,congruent,15,PorEng,-1.0903077246327677,0.0011629976330726187,0.1736851434504065
25,778.23,incongruent,86,PorEng,1.5579855920081507,0.009067538502213007,0.6937276847889394
26,629.17,control,107,PorEng,-0.3641773421034306,0.002042349454080963,0.31627459421133924
27,622.57,incongruent,57,PorEng,-0.4492858579033518,0.00191190635963433,0.2995619255020133
28,645.08,incongruent,53,PorEng,-0.15901423810694998,0.00239456320975032,0.35656225469094244
29,606.01,control,101,PorEng,-0.6628308611831578,0.0016201210008589657,0.2576283203767948
30,591.25,congruent,19,PorEng,-0.8531644510629841,0.0013978017700105904,0.22025271580866532
31,622.31,control,112,PorEng,-0.45263861761668345,0.001906941859745802,0.29890354764376686
32,602.44,control,117,PorEng,-0.708866831093115,0.001563302918280652,0.2485882859385685
33,894.6,congruent,28,PorEng,3.058603468316782,0.029032062953999817,0.9884024208047405
34,600.34,congruent,9,PorEng,-0.7359468133930906,0.0015308158649471933,0.24327061862196464
35,796.12,congruent,38,PorEng,1.7886812507446066,0.01084387970499603,0.7390291458813402
36,591.54,congruent,34,PorEng,-0.8494248344596547,0.0014018612785860174,0.2209870603428629
37,586.71,control,102,PorEng,-0.9117087937495969,0.0013357605611324284,0.20875642551467438
38,632.54,incongruent,89,PorEng,-0.3207204181268035,0.0021123495068344545,0.3248081841432225
39,718.06,congruent,2,PorEng,0.7820796229655239,0.004967917997438316,0.5413638550555823
40,631.62,control,130,PorEng,-0.3325840294201255,0.002093005012488545,0.3224785394140438
41,580.37,control,147,PorEng,-0.9934645498361895,0.0012537020801450288,0.19270213466359432
42,596.07,control,108,PorEng,-0.7910094440697069,0.0014668259349081354,0.232458028411537
43,600.57,control,100,PorEng,-0.7329809105697598,0.0015343407935505611,0.24385302980425938
44,694.92,incongruent,96,PorEng,0.4836840084791295,0.003941655600978674,0.482768225671672
45,538.78,control,137,PorEng,-1.5297771516723675,0.0008271252357249974,0.08738699956952216
46,621.29,incongruent,90,PorEng,-0.4657917518766712,0.0018875899154732502,0.2963206806614165
47,584.18,congruent,18,PorEng,-0.944333724806235,0.0013023897398336335,0.20234990250943247
48,622.14,congruent,17,PorEng,-0.45483080666001424,0.001903702812554418,0.29847306981337524
49,578.66,incongruent,72,PorEng,-1.0155153925661697,0.0012324460317426245,0.1883720341343597
50,584.95,incongruent,79,PorEng,-0.9344043979629094,0.0013124568494625643,0.2042997138588541
51,627.87,control,111,PorEng,-0.3809411406700814,0.0020159707442906644,0.31298270492010843
52,623.85,congruent,5,PorEng,-0.4327799639300339,0.0019365360548102546,0.30280317034260984
53,631.88,congruent,46,PorEng,-0.32923126970679534,0.0020984539060130525,0.32313691727228994
54,577.11,congruent,4,PorEng,-1.0355029985494844,0.0012134904038725543,0.1844470892101999
55,578.12,control,139,PorEng,-1.022478816586163,0.0012258087599336612,0.1870046339672331
56,725.47,congruent,8,PorEng,0.8776332747954378,0.005350022884327948,0.5601276240155987
57,798.42,control,149,PorEng,1.8183402789779124,0.011096179260997584,0.744853257704287
58,577.13,congruent,49,PorEng,-1.0352450939561515,0.0012137331262247542,0.18449773366083416
59,631.92,congruent,23,PorEng,-0.3287154605201296,0.0020992934554741557,0.3232382061735585
60,647.62,congruent,31,PorEng,-0.12626035475364697,0.0024561641351956575,0.36299409992150117
61,751.2,congruent,25,PorEng,1.2094275341184688,0.006919896676269941,0.6252817097566536
62,657.88,control,115,PorEng,0.006044701626232244,0.0027215480061896376,0.38897470309690824
63,826.3,control,125,PorEng,2.1778592820842513,0.014664078127152941,0.8154516218885316
64,636.22,control,128,PorEng,-0.2732659729535126,0.002191531990581361,0.3341267630599378
65,677.76,incongruent,75,PorEng,0.26240186739933175,0.0033201197061353,0.439315287027424
66,644.18,control,122,PorEng,-0.17061994480694057,0.0023731088303865686,0.3542832544123977
67,741.76,congruent,6,PorEng,1.0876965660652458,0.0062965435396891735,0.6013775290572536
68,627.16,control,113,PorEng,-0.39009675373340685,0.002001708044505611,0.31118482692259
69,715.36,control,110,PorEng,0.7472625028655565,0.00483557882977766,0.5345268542199489
