,prime,target,class,pair_index,mask,key_name,correct,key_rt,key_tDown,bm_dur,prime_dur,fm_dur,target_dur,frame_rate
21,safato,shoe,control,106,PDMOMJSJ,m,True,0.9101263000011386,27556.4251128,0.4775819999995292,0.09912140000233194,0.04883789999803412,0.05110680000143475,60.61215855589586
22,sapato,shoe,congruent,6,GNYKRDMD,m,True,0.6250025999979698,27558.2212573,0.48117630000342615,0.10143169999719248,0.05064240000137943,0.0478307000012137,60.2418711124331
23,atrasado,late,congruent,48,UGOBWIBO,z,True,1.1468783000018448,27560.5649558,0.4854845000008936,0.09950680000110879,0.04979779999848688,0.050282899999729125,60.498373501267636
24,vaca,cow,congruent,0,HNNJJMYP,m,True,1.4753482000014628,27563.1898866,0.4860642000021471,0.10068459999820334,0.04915379999874858,0.0509885999999824,59.99646020983193
25,butão,button,congruent,1,CKEHOXIQ,m,True,0.7351708000023791,27565.1528241,0.4785458000005747,0.10037469999952009,0.050268200000573415,0.050188699999125674,59.760146675587755
26,feio,ugly,congruent,31,FJAFKXIY,z,True,0.7124887999998464,27567.0137109,0.48453910000171163,0.09896170000138227,0.050495699997554766,0.050461599999835016,59.95347610206246
27,darganta,throat,control,108,DMVVLCXT,z,False,0.7074628999980632,27568.90786,0.4753874999987602,0.0986854000002495,0.05095480000090902,0.050142600000981474,59.96267922741964
28,ponte,bridge,congruent,12,XGHOHZTC,m,True,1.9811512000014773,27572.1818399,0.48369760000059614,0.09989010000208509,0.05049209999924642,0.04981919999772799,60.25519279350785
29,creme,cream,congruent,4,LNNCYNDO,m,True,0.8836770999987493,27574.2689999,0.48837730000013835,0.09996680000040215,0.049806300001364434,0.050058199998602504,59.94398833648028
30,suave,soft,congruent,27,UIHKWMXK,z,True,0.9073237000011432,27576.3934502,0.4882240000006277,0.09964829999807989,0.04948590000276454,0.05096079999930225,60.49486005413044
31,dente,tooth,congruent,19,FJOQEZFE,m,True,1.1832501999997476,27578.7855514,0.4778121999988798,0.10003589999905671,0.050969800002349075,0.04935529999784194,60.55134420914609
32,togo,fire,control,115,ZNFFREUS,m,True,0.6921228999999585,27580.6460192,0.4784123000026739,0.10081439999703434,0.04902109999966342,0.050280600000405684,60.647815708980204
33,lago,lake,congruent,9,GFJJZMSC,m,True,0.9556627999991179,27582.8774308,0.48698890000014217,0.09967939999842201,0.05010430000038468,0.05077970000274945,59.810901853265186
34,sapato,ladder,incongruent,56,LSAGQSQE,m,True,0.7852433000007295,27585.0063243,0.484878999999637,0.09668190000229515,0.0522845999985293,0.04806240000107209,60.321634956749904
35,melhor,better,congruent,33,VNCBVIWR,z,True,0.895220700000209,27587.1681303,0.47426090000226395,0.10085599999729311,0.04999360000147135,0.04995720000079018,60.10959180692072
36,findo,bottom,control,141,NBMLBLOF,z,True,1.4221872000016447,27589.8142329,0.4793969000020297,0.10049259999868809,0.04889560000083293,0.049068099997384707,59.65266638362359
37,lei,law,congruent,32,QOQUIKBA,z,True,0.7324036999998498,27591.7421722,0.4766769000016211,0.10211359999811975,0.04838799999924959,0.051233800000773044,60.3412903373412
38,daca,cow,control,100,SRWIIENU,m,True,0.9605774999981804,27593.9720614,0.48142019999795593,0.09979680000105873,0.04851590000180295,0.05171419999896898,60.53565580408352
39,tarde,evening,congruent,40,DBRJCORK,z,True,0.917187200000626,27596.1790369,0.48283490000176243,0.10276929999963613,0.048778299998957664,0.05018740000014077,59.875112491303106
40,fome,soft,incongruent,78,VEPGPYNU,z,True,0.7116863999981433,27598.1250511,0.48952579999968293,0.09855989999778103,0.053469099999347236,0.04986820000340231,60.125530081240406
41,momento,bottom,incongruent,92,AXFMXZPD,z,True,0.9228626000003715,27600.2471265,0.48518370000238065,0.09933710000041174,0.04962699999668985,0.04990430000179913,59.66067395116843
